name,three_from_monopoly,two_from_monopoly,one_from_monopoly,no_monopoly,one_building,two_building,three_building,four_building,five_building
Mediterranean Avenue,0.004688361831218974,0.004688361831218974,0.004688361831218974,0.004688361831218974,0.012743882936190628,0.026893438704052648,0.05982545045045045,0.08199752399633423,0.10178242987789303
Baltic Avenue,0.009487038058466627,0.017354957740030524,0.009487038058466627,0.00787322784429031,0.04196338889629275,0.11914318191133845,0.23678886271775068,0.2146978074541631,-24.907318116793544
Reading Railroad,0.21283783783783783,0.21283783783783783,0.21283783783783783,0.21283783783783783,0.0,0.0,0.0,0.0,0.0
Oriental Avenue,0.014594594594594596,0.03532071588755236,0.014594594594594596,0.0260945730159814,0.051237582735583174,0.07195898705180112,0.4745348498024239,0.575075075075075,-24.916385135135137
Vermont Avenue,0.014594594594594596,0.014594594594594596,0.014594594594594596,0.014594594594594596,0.025337837837837843,0.05584666298952014,0.12827280405405406,0.15015015015015018,0.16722972972972974
Connecticut Avenue,0.08153410567365085,0.019486152819486152,0.019486152819486152,0.019486152819486152,0.028900971283783782,0.054044182970406494,0.12582735797021513,0.15071941565830205,0.16417119782504397
St. Charles Place,0.01956935467583565,0.010700524905070358,0.010700524905070358,0.018991449063043155,0.025669514697157482,0.05418932115709459,0.12159941168341462,0.1310701645523074,0.12559951304858502
Electric Company,0.056756756756756746,0.056756756756756746,0.056756756756756746,0.056756756756756746,0.0,0.0,0.0,0.0,0.0
States Avenue,0.01717836951846374,0.011433437569801202,0.011433437569801202,0.02279317266932417,0.02477678781104885,0.057900918496621614,0.12992813851104576,0.14004757308328736,0.13420221942177576
Virginia Avenue,0.022499792276824533,0.0173554845509785,0.01655341541919992,0.03050310394367419,0.027940115250029523,0.07538530265802992,0.15792281200868458,0.17266455205881923,0.1781566722972973
Pennsylvania Railroad,0.2483108108108108,0.2483108108108108,0.2483108108108108,0.2483108108108108,0.0,0.0,0.0,0.0,0.0
St. James Place,0.031633250031749,0.028073632561161938,0.021062077702702704,0.02457917941901754,0.024993818515307832,0.08329047040119705,0.17408310677541447,0.18650009772168863,0.19048228778549478
Tennessee Avenue,0.31338765424441406,0.02327913851351351,0.02327913851351351,0.02327913851351351,0.044288491821190996,0.09205788833816515,0.19240764433072124,0.20613168695555056,0.21053305492080998
New York Avenue,0.03950039586275887,0.03310894122442774,0.026205405405405408,0.037643579289654575,0.029563823995602492,0.09191947049089906,0.1919341216216216,0.2022022022022022,0.20472972972972975
Kentucky Avenue,0.018954441186564152,0.018954441186564152,0.018954441186564152,0.030169546106329218,0.03552493253383017,0.08563537498599674,0.17985340250965254,0.17484663347705073,0.167829876097085
Indiana Avenue,0.18816081869042728,0.016629839908966663,0.016629839908966663,0.016629839908966663,0.03784848947698442,0.07513292333677073,0.15779590974903476,0.15340317842797846,0.14724696676442364
Illinois Avenue,0.04025535334102105,0.022275583712256682,0.022275583712256682,0.03725097070643913,0.046969801434087154,0.1014444196262378,0.19126207232162912,0.18422120064899947,0.17581057620120122
B. & O. Railroad,0.23817567567567566,0.23817567567567566,0.23817567567567566,0.23817567567567566,0.0,0.0,0.0,0.0,0.0
Atlantic Avenue,0.035022466047487086,0.028060712964501897,0.028060712964501897,0.03552346007965608,0.04700347037357715,0.12000015896692692,0.22053861233409391,0.21075246040283044,0.20012565107798735
Ventnor Avenue,0.027722469872697518,0.02001050842550545,0.02001050842550545,0.03654346661178394,0.042174777292789956,0.08557388385346427,0.1572693383038211,0.1502906889757889,0.14271255445725325
Water Works,0.061621621621621624,0.061621621621621624,0.061621621621621624,0.061621621621621624,0.0,0.0,0.0,0.0,0.0
Marvin Gardens,0.03975625307920806,0.023005178193768922,0.023005178193768922,0.050626109190977375,0.060834386498965554,0.09285843483223066,0.16705066888203918,0.15856739491484248,0.1499170828973605
Pacific Avenue,0.019909909909909908,0.019909909909909908,0.019909909909909908,0.019909909909909908,0.044427071699798974,0.09542619542619542,0.16540540540540538,0.1573926868044515,0.1460470165456315
North Carolina Avenue,0.04991722231812583,0.029951941410111597,0.0162012012012012,0.03968039206602404,0.03942543388725636,0.07765072765072767,0.1345945945945946,0.12807444122323014,0.11884218013026879
Pennsylvania Avenue,0.029868464086440012,0.030529540035489546,0.020385224544014716,0.08228231062885515,0.04353343959685711,0.0994667187849006,0.1666963015647226,0.15622030900559836,0.146264428490991
Short Line,0.1919123282178496,0.23564189189189189,0.23564189189189189,0.23564189189189189,0.0,0.0,0.0,0.0,0.0
Park Place,0.03914695271174665,0.0203601108033241,0.0203601108033241,0.03203395000867997,0.03981010134452099,0.0823045267489712,0.13735691987513007,0.12734693877551018,0.1183431952662722
Boardwalk,0.0398805714064671,0.027567567567567567,0.027567567567567567,0.03151670974807567,0.040945058102609524,0.08439051296194153,0.15076013513513511,0.14464464464464463,0.13783783783783787
